id;file_name;name;label
0;datasets/TestSet/data/n000236/0001_01.jpg;n000236;221
1;datasets/TestSet/data/n000236/0002_01.jpg;n000236;221
2;datasets/TestSet/data/n000236/0003_01.jpg;n000236;221
3;datasets/TestSet/data/n000236/0004_01.jpg;n000236;221
4;datasets/TestSet/data/n000236/0005_01.jpg;n000236;221
5;datasets/TestSet/data/n000236/0006_01.jpg;n000236;221
6;datasets/TestSet/data/n000236/0007_01.jpg;n000236;221
7;datasets/TestSet/data/n000236/0008_01.jpg;n000236;221
8;datasets/TestSet/data/n000236/0009_01.jpg;n000236;221
9;datasets/TestSet/data/n000236/0010_01.jpg;n000236;221
10;datasets/TestSet/data/n000238/0001_01.jpg;n000238;223
11;datasets/TestSet/data/n000238/0002_01.jpg;n000238;223
12;datasets/TestSet/data/n000238/0003_01.jpg;n000238;223
13;datasets/TestSet/data/n000238/0004_01.jpg;n000238;223
14;datasets/TestSet/data/n000238/0005_01.jpg;n000238;223
15;datasets/TestSet/data/n000238/0006_01.jpg;n000238;223
16;datasets/TestSet/data/n000238/0007_01.jpg;n000238;223
17;datasets/TestSet/data/n000238/0008_01.jpg;n000238;223
18;datasets/TestSet/data/n000238/0009_01.jpg;n000238;223
19;datasets/TestSet/data/n000238/0010_01.jpg;n000238;223
20;datasets/TestSet/data/n000239/0001_04.jpg;n000239;224
21;datasets/TestSet/data/n000239/0002_01.jpg;n000239;224
22;datasets/TestSet/data/n000239/0003_01.jpg;n000239;224
23;datasets/TestSet/data/n000239/0004_01.jpg;n000239;224
24;datasets/TestSet/data/n000239/0005_01.jpg;n000239;224
25;datasets/TestSet/data/n000239/0005_02.jpg;n000239;224
26;datasets/TestSet/data/n000239/0006_01.jpg;n000239;224
27;datasets/TestSet/data/n000239/0007_01.jpg;n000239;224
28;datasets/TestSet/data/n000239/0008_02.jpg;n000239;224
29;datasets/TestSet/data/n000239/0009_01.jpg;n000239;224
30;datasets/TestSet/data/n000240/0001_02.jpg;n000240;225
31;datasets/TestSet/data/n000240/0002_01.jpg;n000240;225
32;datasets/TestSet/data/n000240/0003_01.jpg;n000240;225
33;datasets/TestSet/data/n000240/0004_01.jpg;n000240;225
34;datasets/TestSet/data/n000240/0005_01.jpg;n000240;225
35;datasets/TestSet/data/n000240/0006_01.jpg;n000240;225
36;datasets/TestSet/data/n000240/0006_02.jpg;n000240;225
37;datasets/TestSet/data/n000240/0007_01.jpg;n000240;225
38;datasets/TestSet/data/n000240/0007_02.jpg;n000240;225
39;datasets/TestSet/data/n000240/0008_01.jpg;n000240;225
40;datasets/TestSet/data/n000241/0001_01.jpg;n000241;226
41;datasets/TestSet/data/n000241/0002_01.jpg;n000241;226
42;datasets/TestSet/data/n000241/0003_01.jpg;n000241;226
43;datasets/TestSet/data/n000241/0004_01.jpg;n000241;226
44;datasets/TestSet/data/n000241/0005_01.jpg;n000241;226
45;datasets/TestSet/data/n000241/0006_01.jpg;n000241;226
46;datasets/TestSet/data/n000241/0007_01.jpg;n000241;226
47;datasets/TestSet/data/n000241/0008_01.jpg;n000241;226
